ID,method,signature,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,longMethod,longParam,messageChains,featureEnvy
1,com.puppycrawl.tools.checkstyle.JavadocTag:getTag,Lcom/puppycrawl/tools/checkstyle/JavadocTag.getTag()Ljava/lang/String;,6,0,0,0,0.5,0,2,4,0,0.9941356182098389,0.7071067811865475,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Verifier:reportCComment,Lcom/puppycrawl/tools/checkstyle/Verifier.reportCComment(IIII)V,0,3,0,4,0.8571428571428571,1,2,7,1,0.6907151937484741,0.5782091126474235,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckerTest:setUp,Lcom/puppycrawl/tools/checkstyle/CheckerTest.setUp()V,0,2,0,0,0.0,0,2,3,0,0.6307664513587952,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckerTest:testScopeInnerClassesPackage,Lcom/puppycrawl/tools/checkstyle/CheckerTest.testScopeInnerClassesPackage()V,0,5,0,0,0.0,0,3,8,0,0.006708052940666676,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.PropertyCacheFile:destroy,Lcom/puppycrawl/tools/checkstyle/PropertyCacheFile.destroy()V,3,3,0,0,0.16666666666666666,1,3,12,1,0.5721127390861511,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:setIgnoreImports,Lcom/puppycrawl/tools/checkstyle/Configuration.setIgnoreImports(Z)V,1,0,0,1,0.5,0,1,4,0,0.9406940340995789,0.7895420339517227,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckerTest:createChecker,Lcom/puppycrawl/tools/checkstyle/CheckerTest.createChecker()Lcom/puppycrawl/tools/checkstyle/Checker;,19,1,0,0,0.0,0,3,6,0,0.6584442853927612,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:getParamPat,Lcom/puppycrawl/tools/checkstyle/Configuration.getParamPat()Ljava/lang/String;,1,0,0,0,0.5,0,2,4,0,0.9863026738166809,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Checker:addListener,Lcom/puppycrawl/tools/checkstyle/Checker.addListener(Lcom/puppycrawl/tools/checkstyle/AuditListener;)V,3,1,0,1,0.75,0,1,4,0,0.9492271542549133,0.6708203932499369,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:setAllowTabs,Lcom/puppycrawl/tools/checkstyle/Configuration.setAllowTabs(Z)V,1,0,0,1,0.5,0,1,4,0,0.9758978486061096,0.9284141650970551,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.AuditEvent:toString,Lcom/puppycrawl/tools/checkstyle/AuditEvent.toString()Ljava/lang/String;,5,2,0,0,1.0,0,3,4,0,0.9967362284660339,0.3849001794597505,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:getMaxLineLength,Lcom/puppycrawl/tools/checkstyle/Configuration.getMaxLineLength()I,1,0,0,0,0.5,0,2,4,0,0.8948536515235901,0.5773502691896258,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Verifier:reportStartTypeBlock,Lcom/puppycrawl/tools/checkstyle/Verifier.reportStartTypeBlock(Lcom/puppycrawl/tools/checkstyle/Scope;Z)V,0,1,0,2,1.2,0,3,5,0,0.5408541560173035,0.45133546692422,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.MyToken:getText,Lcom/puppycrawl/tools/checkstyle/MyToken.getText()Ljava/lang/String;,17,0,0,0,0.5,0,3,4,0,0.9926567077636719,0.5,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.XMLLogger:getOutputStream,Lcom/puppycrawl/tools/checkstyle/XMLLogger.getOutputStream()Ljava/io/OutputStream;,1,0,0,0,0.5,0,2,4,0,0.9685959815979004,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Streamable:getOutputStream,Lcom/puppycrawl/tools/checkstyle/Streamable.getOutputStream()Ljava/io/OutputStream;,1,0,0,0,1.0,0,3,2,0,0.9968486428260803,0.35355339059327373,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.MyModifierSet:getFirstLineNo,Lcom/puppycrawl/tools/checkstyle/MyModifierSet.getFirstLineNo()I,2,0,0,0,0.5,0,3,4,0,0.9375715255737305,0.6324555320336759,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.MethodSignature:getLineNo,Lcom/puppycrawl/tools/checkstyle/MethodSignature.getLineNo()I,18,0,0,0,0.5,0,2,4,0,0.9866051077842712,0.5773502691896258,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Verifier:checkHeader,Lcom/puppycrawl/tools/checkstyle/Verifier.checkHeader()V,1,4,0,0,0.14285714285714285,3,6,14,3,0.008274353109300137,0.30960941226920163,0,0,0,0,0,0,0,0,0,0
